id,naslov,avtor,ocene,povprecje,stevilo_glasujocih,tocke
2767052,The Hunger Games,Suzanne Collins,"5,185,834",4.34,"28,343","2,780,502"
2,Harry Potter and the Order of the Phoenix,J.K. Rowling,"1,913,035",4.47,"24,271","2,371,475"
2657,To Kill a Mockingbird,Harper Lee,"3,461,327",4.26,"20,456","1,987,103"
1885,Pride and Prejudice,Jane Austen,"2,298,359",4.25,"17,659","1,709,202"
41865,Twilight,Stephenie Meyer,"4,065,182",3.57,"14,320","1,405,717"
19063,The Book Thief,Markus Zusak,"1,364,387",4.36,"11,942","1,154,375"
11127,The Chronicles of Narnia,C.S. Lewis,"416,104",4.25,"11,846","1,130,634"
7613,Animal Farm,George Orwell,"2,084,122",3.88,"11,553","1,110,955"
18405,Gone with the Wind,Margaret Mitchell,"926,601",4.28,"10,621","1,030,630"
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"96,749",4.59,"10,373","988,573"
11870085,The Fault in Our Stars,John Green,"2,643,761",4.26,"10,166","978,478"
11,The Hitchhiker's Guide to the Galaxy,Douglas Adams,"1,056,595",4.21,"10,060","973,558"
370493,The Giving Tree,Shel Silverstein,"742,440",4.38,"9,922","956,100"
6185,Wuthering Heights,Emily Brontë,"1,046,583",3.83,"9,358","893,173"
968,The Da Vinci Code,Dan Brown,"1,601,402",3.80,"8,587","814,090"
930,Memoirs of a Geisha,Arthur Golden,"1,460,727",4.08,"8,430","808,402"
24213,Alice's Adventures in Wonderland &amp; Through the Looking-Glass,Lewis Carroll,"386,838",4.06,"8,113","766,874"
24280,Les Misérables,Victor Hugo,"577,652",4.15,"7,798","740,640"
5297,The Picture of Dorian Gray,Oscar Wilde,"713,215",4.06,"7,829","739,480"
13335037,Divergent,Veronica Roth,"2,333,146",4.23,"7,697","731,688"
18135,Romeo and Juliet,William Shakespeare,"1,732,283",3.74,"7,792","726,583"
10210,Jane Eyre,Charlotte Brontë,"1,309,792",4.10,"7,546","711,623"
7624,Lord of the Flies,William Golding,"1,742,427",3.65,"7,508","704,819"
865,The Alchemist,Paulo Coelho,"1,497,705",3.83,"7,230","690,335"
7144,Crime and Punishment,Fyodor Dostoyevsky,"468,729",4.19,"7,055","674,229"
375802,Ender's Game,Orson Scott Card,"909,563",4.30,"6,974","668,861"
256683,City of Bones,Cassandra Clare,"1,298,862",4.12,"6,928","657,068"
22628,The Perks of Being a Wallflower,Stephen Chbosky,"997,020",4.21,"6,878","651,987"
4667024,The Help,Kathryn Stockett,"1,676,919",4.46,"6,873","639,785"
18619684,The Time Traveler's Wife,Audrey Niffenegger,"1,350,512",3.95,"6,666","637,820"
24178,Charlotte's Web,E.B. White,"1,143,824",4.15,"6,813","630,002"
8127,Anne of Green Gables,L.M. Montgomery,"557,994",4.23,"6,570","622,191"
4671,The Great Gatsby,F. Scott Fitzgerald,"2,934,217",3.90,"6,734","619,849"
890,Of Mice and Men,John Steinbeck,"1,579,939",3.85,"6,601","610,274"
17245,Dracula,Bram Stoker,"724,226",3.98,"6,318","583,699"
5129,Brave New World,Aldous Huxley,"1,127,241",3.97,"6,101","567,060"
320,One Hundred Years of Solitude,Gabriel García Márquez,"597,185",4.04,"5,882","557,868"
21787,The Princess Bride,William Goldman,"666,014",4.25,"5,885","552,005"
157993,The Little Prince,Antoine de Saint-Exupéry,"920,577",4.29,"5,770","535,280"
2998,The Secret Garden,Frances Hodgson Burnett,"720,688",4.12,"5,839","529,429"
128029,A Thousand Splendid Suns,Khaled Hosseini,"903,079",4.34,"5,605","527,304"
18131,A Wrinkle in Time,Madeleine L'Engle,"692,815",4.04,"5,619","526,185"
5107,The Catcher in the Rye,J.D. Salinger,"2,211,582",3.80,"5,665","521,065"
2956,The Adventures of Huckleberry Finn,Mark Twain,"1,030,166",3.81,"5,367","487,179"
4381,Fahrenheit 451,Ray Bradbury,"1,226,818",3.98,"5,250","483,760"
12232938,The Lovely Bones,Alice Sebold,"1,712,500",3.78,"5,213","482,866"
19543,Where the Wild Things Are,Maurice Sendak,"665,044",4.22,"5,216","478,577"
13496,A Game of Thrones,George R.R. Martin,"1,531,360",4.45,"5,093","475,418"
23772,Green Eggs and Ham,Dr. Seuss,"481,146",4.30,"5,220","473,953"
28187,The Lightning Thief,Rick Riordan,"1,495,873",4.23,"5,064","472,311"
4214,Life of Pi,Yann Martel,"1,097,455",3.89,"4,992","461,499"
1953,A Tale of Two Cities,Charles Dickens,"696,277",3.82,"5,022","457,406"
43641,Water for Elephants,Sara Gruen,"1,141,021",4.07,"4,909","455,975"
1381,The Odyssey,Homer,"733,732",3.73,"4,950","449,585"
231804,The Outsiders,S.E. Hinton,"706,910",4.07,"4,866","447,895"
7604,Lolita,Vladimir Nabokov,"533,914",3.88,"4,553","422,428"
4981,Slaughterhouse-Five,Kurt Vonnegut,"925,750",4.06,"4,415","407,463"
3,Harry Potter and the Sorcerer's Stone,J.K. Rowling,"5,123,256",4.45,"4,293","399,544"
168668,Catch-22,Joseph Heller,"605,563",3.98,"4,147","379,770"
18490,"Frankenstein, or The Modern Prometheus",Mary Wollstonecraft Shelley,"916,823",3.76,"4,196","371,599"
234225,Dune,Frank Herbert,"548,620",4.20,"3,969","367,329"
5043,The Pillars of the Earth,Ken Follett,"518,134",4.29,"3,931","365,066"
77203,The Kite Runner,Khaled Hosseini,"1,956,270",4.26,"3,923","356,864"
149267,The Stand,Stephen King,"493,162",4.34,"3,830","353,005"
76620,Watership Down,Richard Adams,"317,648",4.06,"3,777","345,587"
3636,The Giver,Lois Lowry,"1,375,473",4.12,"3,778","344,747"
3590,The Adventures of Sherlock Holmes,Arthur Conan Doyle,"192,744",4.30,"3,799","337,657"
38447,The Handmaid's Tale,Margaret Atwood,"774,460",4.07,"3,641","328,759"
10917,My Sister's Keeper,Jodi Picoult,"914,569",4.06,"3,572","324,680"
332613,One Flew Over the Cuckoo's Nest,Ken Kesey,"528,937",4.19,"3,580","314,967"
6514,The Bell Jar,Sylvia Plath,"458,501",3.98,"3,419","310,110"
10964,Outlander,Diana Gabaldon,"613,853",4.21,"3,256","304,145"
15823480,Anna Karenina,Leo Tolstoy,"495,308",4.03,"3,301","301,712"
17899948,Rebecca,Daphne du Maurier,"343,079",4.21,"3,319","294,621"
2429135,The Girl with the Dragon Tattoo,Stieg Larsson,"2,035,151",4.12,"3,289","293,192"
